DO_org,DO_w,DO_b,DO_g,,,,DOE_w,DOE_b,DOE_g,DOPE_w,DOPE_b,DOPE_g,DOR_w,DOR_b,DOR_g
7.056901501,6.722140207,6.760113889,6.765123458,,,,0.334761294,0.296787612,0.291778043,,,,,,
7.116900751,6.722083105,6.760056561,6.765066283,,,,0.394817646,0.35684419,0.351834468,,,,,,
7.170350375,6.722054554,6.760027897,6.765037695,,,,0.448295821,0.410322478,0.40531268,,,,,,
7.218325188,6.721151941,6.759123613,6.764182456,,,,0.497173247,0.459201575,0.454142732,,,,,,
7.258412594,6.717173828,6.755138138,6.760417619,,,,0.541238766,0.503274456,0.497994975,,,,,,
7.288356297,6.710741047,6.748692907,6.754331533,,,,0.57761525,0.53966339,0.534024764,,,,,,
7.312828148,6.70315002,6.741086341,6.747153105,,,,0.609678128,0.571741807,0.565675043,,,,,,
7.337564074,6.696012471,6.733933341,6.740407059,,,,0.641551603,0.603630733,0.597157015,,,,,,
7.364832037,6.692424471,6.730337214,6.737015609,,,,0.672407566,0.634494823,0.627816428,,,,,,
7.398216019,6.690340479,6.728247829,6.735027526,,,,0.70787554,0.66996819,0.663188493,,,,,,
7.435458009,6.68948799,6.727393214,6.734217447,,,,0.745970019,0.708064795,0.701240562,,,,,,
7.472279005,6.689155815,6.727060041,6.733896373,,,,0.78312319,0.745218964,0.738382632,,,,,,
7.510689502,6.689562236,6.727468433,6.734313506,,,,0.821127266,0.783221069,0.776375996,,,,,,
7.551894751,6.689507243,6.727413311,6.734261542,,,,0.862387508,0.82448144,0.817633209,,,,,,
7.592347376,6.689479747,6.72738575,6.73423556,,,,0.902867629,0.864961626,0.858111816,,,,,,
7.615523688,6.689465997,6.727371969,6.734222568,,,,0.926057691,0.888151719,0.88130112,,,,,,
7.627111844,6.688875257,6.726779828,6.733663942,,,,0.938236587,0.900332016,0.893447902,,,,,,
7.632905922,6.688524115,6.726427618,6.733324262,,,,0.944381807,0.906478304,0.89958166,,,,,,
7.635802961,6.688032873,6.725934925,6.732850537,,,,0.947770088,0.909868036,0.902952424,,,,,,
7.63725148,6.688749448,6.726653029,6.733522373,,,,0.948502032,0.910598451,0.903729107,,,,,,
7.63797574,6.688994302,6.726898265,6.733747502,,,,0.948981438,0.911077475,0.904228238,,,,,,
